Id	Category
2	Politics
10	Technology
25	Film
28	Business
29	Business
33	Business
34	Business
37	Business
39	Technology
40	Business
44	Business
56	Business
66	Technology
75	Business
77	Business
85	Business
89	Business
92	Technology
107	Technology
112	Technology
115	Technology
139	Business
140	Business
152	Business
156	Technology
162	Technology
167	Business
170	Business
171	Technology
173	Politics
182	Technology
186	Football
193	Technology
196	Business
210	Business
218	Football
224	Business
227	Technology
230	Politics
232	Football
247	Football
262	Football
273	Football
276	Politics
279	Football
284	Business
286	Football
287	Business
305	Business
316	Business
337	Politics
342	Business
349	Film
357	Film
363	Film
367	Technology
368	Film
374	Technology
377	Film
385	Film
395	Film
401	Film
417	Film
422	Film
427	Film
433	Business
438	Business
469	Politics
470	Politics
473	Politics
481	Technology
486	Business
490	Business
495	Technology
510	Politics
519	Politics
523	Politics
533	Business
536	Business
538	Politics
545	Business
550	Business
551	Business
557	Business
558	Business
561	Business
565	Business
575	Business
583	Business
589	Business
592	Business
593	Business
594	Business
598	Business
599	Politics
607	Business
614	Business
626	Business
627	Politics
634	Technology
636	Business
639	Business
641	Technology
643	Business
650	Business
655	Business
662	Technology
666	Technology
667	Business
673	Technology
678	Technology
693	Technology
694	Technology
696	Technology
697	Business
699	Business
704	Business
706	Business
707	Technology
709	Technology
717	Technology
724	Business
728	Technology
732	Technology
733	Business
741	Technology
746	Business
747	Business
749	Business
750	Politics
754	Business
756	Business
768	Politics
769	Business
774	Business
775	Business
776	Politics
789	Business
802	Politics
804	Politics
809	Technology
816	Technology
825	Technology
827	Film
830	Business
837	Technology
838	Technology
839	Business
849	Business
854	Technology
865	Business
871	Politics
873	Politics
884	Politics
886	Politics
893	Business
896	Business
898	Business
907	Politics
909	Politics
910	Technology
911	Politics
914	Politics
916	Politics
922	Business
925	Business
926	Politics
935	Business
936	Business
946	Politics
952	Business
954	Business
959	Business
960	Business
961	Business
964	Business
965	Business
968	Business
971	Business
972	Business
982	Business
983	Business
985	Business
987	Business
990	Politics
994	Business
1010	Politics
1014	Business
1024	Politics
1026	Business
1032	Business
1047	Politics
1050	Business
1059	Business
1061	Business
1062	Business
1069	Business
1072	Business
1074	Business
1081	Business
1088	Business
1090	Business
1093	Business
1097	Business
1100	Business
1102	Business
1105	Business
1142	Business
1143	Film
1155	Business
1162	Business
1163	Technology
1169	Business
